ID,Area,Priority,Title,Description,Recommendation,Files Affected,Completed
S1,Security,Critical,API key exposed in /dt-config endpoint,nginx returns the DT_API_KEY in a plain JSON response at /dt-config that any browser or caller reaching port 3000 can read without authentication.,Remove apiKey from the /dt-config JSON response. Users enter the key manually in the Connect modal.,dashboard/nginx.conf.template,FALSE
S2,Security,Critical,TLS certificate verification unconditionally disabled,rejectUnauthorized: false in server.js disables all TLS chain validation for every outbound HTTPS call. A network-level MITM can intercept DT API traffic silently.,Make it opt-in via an env var (e.g. DT_TLS_REJECT_UNAUTHORIZED=false). Default should be true (verify certs).,violation-cache/server.js,FALSE
S3,Security,Critical,No request body size limit in readBody(),A caller sending a multi-gigabyte payload to POST /violation-cache/config will exhaust process memory and crash the service.,Reject the request once accumulated bytes exceed ~64 KB and return HTTP 413.,violation-cache/server.js,FALSE
S4,Security,High,No rate limiting on /violation-cache/refresh,Any browser tab or external caller can spam the refresh endpoint forcing repeated expensive full-violation fetches and exhausting CPU/IO.,Enforce a minimum cooldown between job starts (e.g. 60 s). Return HTTP 429 if a new request arrives within the cooldown window.,violation-cache/server.js,FALSE
S5,Security,High,.env file permissions not documented or enforced,The .env file contains the DT API key. Default file creation permissions (644) leave it world-readable on the host OS.,Add chmod 600 .env to install.sh and document the requirement in INSTALLATION.md.,install.sh / docs/INSTALLATION.md,FALSE
S6,Security,High,No Content-Security-Policy header on dashboard,Without a CSP header injected scripts (XSS) run without restriction in the browser.,Add a tight CSP to nginx.conf.template: default-src 'self'; script-src 'self' 'unsafe-inline'; style-src 'self' 'unsafe-inline'; img-src 'self' data:,dashboard/nginx.conf.template,FALSE
S7,Security,High,Missing X-Frame-Options and X-Content-Type-Options headers,Dashboard can be embedded in an iframe (clickjacking risk) and browsers may MIME-sniff responses.,Add X-Frame-Options: DENY and X-Content-Type-Options: nosniff headers to nginx.conf.template.,dashboard/nginx.conf.template,FALSE
S8,Security,Medium,No URL validation on user-provided API URL in Connect modal,The browser Connect modal accepts any string as the API URL without validating it is a valid http/https URL before fetch() is called.,Validate with new URL(input) and reject non-http(s) schemes before using the value.,dashboard/index.html,FALSE
S9,Security,Medium,Cache file written with default world-readable permissions,violation-cache.json is created with system umask (typically 0644) making it world-readable on the host.,Pass { mode: 0o640 } to fs.writeFileSync when writing the cache and tmp files.,violation-cache/server.js,FALSE
S10,Security,Medium,Dashboard runs HTTP only with no TLS guidance,nginx listens on HTTP port 80. API key and project data transit in plaintext between client and server if not behind a TLS proxy.,Document that the dashboard must sit behind an HTTPS-terminating reverse proxy. Optionally provide a sample TLS config block in nginx.conf.template.,dashboard/nginx.conf.template / docs/INSTALLATION.md,FALSE
P1,Performance,High,No HTTP keep-alive agent pooling in cache service,Every dtGet() call may open a new TCP+TLS connection. With 9 parallel pipelines and hundreds of pages this creates hundreds of short-lived connections.,Create an https.Agent({ keepAlive: true maxSockets: 20 }) and share it across all requests.,violation-cache/server.js,FALSE
P2,Performance,Medium,Page total inaccurate during early job progress,jobProgress.pagesTotal is incremented as each of the 9 pipeline page-1 fetches completes. The running total shown in the browser is undercounted until all page-1 fetches finish.,Two-phase approach: run all 9 page-1 fetches first to discover total pages then start fetching remaining pages. Set pagesTotal once after discovery phase.,violation-cache/server.js,FALSE
P3,Performance,Medium,Regex compiled per-project in inferParentUuids,new RegExp(...) is called inside the loop for every project that has a version string. For portfolios with thousands of projects this is measurably slow.,Pre-compile the regex once outside the loop.,dashboard/index.html,FALSE
P4,Performance,Medium,No text-search index for large portfolios,applyFilters() walks the full allProjects array on every debounced keypress. For portfolios above ~10K projects filter latency becomes noticeable.,Build an inverted index of project name tokens on load for instant text lookup. Fall back to full scan only for non-text filter changes.,dashboard/index.html,FALSE
P5,Performance,Medium,CSV export builds one giant in-memory string,filtered.map(...).join() creates the entire CSV in a single string. For 50K+ projects this can consume 50-200 MB of heap.,Assemble CSV from chunked Blobs or use a streaming WritableStream to avoid holding the full string in memory at once.,dashboard/index.html,FALSE
P6,Performance,Medium,No HTTP caching headers on /violation-cache/data,The cache file changes at most once per TTL period but is served with Cache-Control: no-store forcing a full re-download on every page load.,Serve Cache-Control: private max-age=300 and ETag/Last-Modified headers so browsers can use a cached copy for up to 5 minutes.,violation-cache/server.js,FALSE
P7,Performance,Low,Docker image not optimised — no .dockerignore and base image unpinned,No .dockerignore file exists so the full build context is sent to Docker on every build. node:18-alpine resolves to the latest patch at build time breaking reproducibility.,Add .dockerignore. Pin the base image to a specific digest: FROM node:18-alpine@sha256:<digest>.,violation-cache/Dockerfile,FALSE
P8,Performance,Low,nginx gzip_types list missing text/html and application/json,The current gzip_types list omits text/html and application/json. The dashboard's large HTML payload and JSON API responses are served uncompressed.,Add text/html and application/json to the gzip_types directive in nginx.conf.template.,dashboard/nginx.conf.template,FALSE
